gene,in_variance_set,in_centrality_set,in_kegg_set,n_sources,variance,variance_rank,in_degree,centrality_rank,kegg_pathway
A2M,True,False,False,1,20.15328182179736,181,,,
A2ML1,False,True,False,1,,,281,4352,
A4GALT,True,False,False,1,12.683076056541235,1146,,,
AAMP,True,True,False,2,8.937867475536132,3948,309,3673,
AAR2,False,True,False,1,,,432,1978,
AASDH,False,True,False,1,,,273,4580,
ABAT,True,False,False,1,9.35921486662768,3388,,,
ABCA10,False,True,False,1,,,308,3698,
ABCA2,True,True,False,2,13.600965258497776,892,295,4011,
ABCA3,True,False,False,1,11.426998460159531,1720,,,
ABCA6,True,False,False,1,11.196364997880158,1874,,,
ABCA7,True,False,False,1,9.104560970656356,3712,,,
ABCA8,True,False,False,1,12.46923370224186,1215,,,
ABCA9,True,False,False,1,9.725373138818869,3000,,,
ABCB1,True,False,False,1,10.593145517659613,2267,,,
ABCB4,True,False,False,1,11.159635516713893,1899,,,
ABCB8,True,True,False,2,9.154806131045904,3651,524,1291,
ABCC1,True,False,False,1,12.509128349659363,1206,,,
ABCC3,True,False,False,1,10.163063312470973,2601,,,
ABCC5,False,True,False,1,,,271,4641,
ABCC8,False,True,False,1,,,663,766,
ABCC9,True,False,False,1,10.627844336564642,2242,,,
ABCD1,True,False,False,1,10.356063151429808,2432,,,
ABCD2,True,False,False,1,10.127355580396172,2624,,,
ABCD3,False,True,False,1,,,298,3933,
ABCE1,False,True,False,1,,,313,3607,
ABCF2-H2BK1,True,False,False,1,12.622689459980826,1163,,,
ABCF3,False,True,False,1,,,814,486,
ABCG1,True,False,False,1,9.744346113471796,2988,,,
ABCG5,False,True,False,1,,,338,3137,
ABCG8,False,True,False,1,,,494,1482,
ABHD16A,True,False,False,1,8.303417906881634,4898,,,
ABHD18,False,True,False,1,,,289,4152,
ABHD8,True,True,False,2,9.099328994428182,3725,266,4776,
ABI3,True,False,False,1,13.123334694000611,1018,,,
ABI3BP,True,False,False,1,13.481069611258304,919,,,
ABL1,True,True,False,2,10.045597544592992,2695,459,1727,
ABLIM1,True,False,False,1,10.846668388605847,2092,,,
ABLIM3,True,False,False,1,11.981486578657693,1418,,,
ABR,True,False,False,1,11.889312618097078,1474,,,
ABRA,True,False,False,1,11.51929402253895,1656,,,
ABRAXAS2,False,True,False,1,,,292,4090,
ABTB1,True,False,False,1,10.968614671393912,2014,,,
ABTB2,True,False,False,1,10.628594746809148,2240,,,
ACAA1,True,False,False,1,10.866455713800605,2080,,,
ACACA,True,False,False,1,8.679047924535316,4295,,,
ACACB,True,True,False,2,11.659669571738538,1577,592,976,
ACAD10,False,True,False,1,,,413,2171,
ACAD9,False,True,False,1,,,657,782,
ACADS,True,False,False,1,10.189202226319834,2574,,,
ACADVL,True,False,False,1,10.412519386928471,2400,,,
ACAP1,False,True,False,1,,,268,4710,
ACAP3,True,True,False,2,11.141555401006087,1908,295,4014,
ACBD4,False,True,False,1,,,278,4450,
ACE,True,False,True,2,10.786874449379,2128,,,hsa05410
ACE2,True,False,False,1,8.875601710650713,4032,,,
ACKR1,True,False,False,1,10.610415606076478,2251,,,
ACKR3,True,False,False,1,10.514022238831442,2325,,,
ACLY,True,True,False,2,9.221306143356896,3555,301,3857,
ACMSD,False,True,False,1,,,295,4018,
ACOT1,True,False,False,1,10.07392629722328,2664,,,
ACOT11,True,True,False,2,8.378730095855849,4761,280,4384,
ACOT7,True,False,False,1,9.709640734661631,3014,,,
ACOX2,True,False,False,1,9.304916390174968,3448,,,
ACP2,True,False,False,1,9.631546428542077,3099,,,
ACSL1,True,False,False,1,9.096974834707463,3728,,,
ACSL5,True,True,False,2,10.357108233246926,2430,317,3520,
ACSM2A,False,True,False,1,,,447,1843,
ACSM2B,False,True,False,1,,,334,3196,
ACSM5,True,False,False,1,10.285902676438582,2487,,,
ACSS1,True,False,False,1,12.638490622235416,1161,,,
ACSS2,True,True,False,2,9.747303181789114,2984,279,4408,
ACSS3,True,False,False,1,10.271599953504492,2505,,,
ACTA1,True,False,False,1,31.3194401553505,30,,,
ACTA2,True,False,False,1,14.932021994505607,607,,,
ACTA2-AS1,True,False,False,1,12.980520238481706,1064,,,
ACTB,False,False,True,1,,,,,both
ACTBP11,False,True,False,1,,,297,3968,
ACTBP2,False,True,False,1,,,314,3585,
ACTBP9,False,True,False,1,,,293,4081,
ACTC1,True,True,True,3,51.6227207372153,2,266,4780,both
ACTG1,False,False,True,1,,,,,both
ACTG2,True,False,False,1,12.107975171747457,1365,,,
ACTL6B,False,True,False,1,,,464,1687,
ACTN2,True,True,False,2,30.47976750890796,32,369,2675,
ACTN4,True,False,False,1,16.000608551632244,443,,,
ACTR1B,False,True,False,1,,,353,2909,
ACTR8,False,True,False,1,,,279,4404,
ACVRL1,True,False,False,1,15.140836159758257,573,,,
ADA2,True,False,False,1,8.544309020632763,4503,,,
ADAD1,False,True,False,1,,,428,2028,
ADAM11,True,True,False,2,13.420691206808398,936,506,1415,
ADAM12,True,False,False,1,12.44413205977534,1226,,,
ADAM15,True,False,False,1,15.521980090106169,516,,,
ADAM19,True,False,False,1,10.323035679094623,2461,,,
ADAM23,True,False,False,1,11.657459346339593,1578,,,
ADAM28,True,False,False,1,8.665895919901871,4316,,,
ADAM33,True,False,False,1,12.314691138380237,1284,,,
ADAM7,False,True,False,1,,,460,1716,
ADAM8,True,False,False,1,8.84394731560973,4071,,,
ADAM9,True,False,False,1,14.08508665945781,779,,,
ADAMTS1,True,False,False,1,10.024742670074486,2713,,,
ADAMTS10,True,False,False,1,9.5900708318159,3155,,,
ADAMTS12,True,False,False,1,15.993091815351203,444,,,
ADAMTS13,False,True,False,1,,,465,1685,
ADAMTS14,True,False,False,1,13.487453202733484,918,,,
ADAMTS15,True,False,False,1,16.672716845922032,361,,,
ADAMTS18,True,False,False,1,11.37894807007168,1753,,,
ADAMTS19,True,False,False,1,11.42489502821684,1723,,,
ADAMTS2,True,True,False,2,13.271814466784935,978,306,3736,
ADAMTS20,False,True,False,1,,,315,3563,
ADAMTS5,True,False,False,1,10.349866771762889,2441,,,
ADAMTS7,True,False,False,1,12.811556439642,1105,,,
ADAMTS8,True,False,False,1,12.580013330476534,1177,,,
ADAMTS9,True,False,False,1,13.916151515655717,824,,,
ADAMTSL1,True,False,False,1,14.486886776129484,697,,,
ADAMTSL2,True,False,False,1,10.379411944142424,2421,,,
ADAMTSL4,True,False,False,1,12.432697790710996,1231,,,
ADAMTSL5,True,False,False,1,10.11536637363366,2632,,,
ADAP1,True,False,False,1,8.778065277913244,4157,,,
ADAP2,False,True,False,1,,,262,4910,
ADARB1,True,False,False,1,8.509700752696807,4560,,,
ADARB2-AS1,False,True,False,1,,,487,1531,
ADAT1,False,True,False,1,,,271,4638,
ADCK2,True,False,False,1,8.542785256022066,4506,,,
ADCK5,False,True,False,1,,,276,4503,
ADCY1,True,True,True,3,9.814306247457443,2905,328,3310,hsa05414
ADCY10P1,False,True,False,1,,,264,4842,
ADCY2,False,False,True,1,,,,,hsa05414
ADCY3,True,False,True,2,9.56874510773518,3173,,,hsa05414
ADCY4,True,False,True,2,12.314609626760568,1285,,,hsa05414
ADCY5,True,True,True,3,22.569582791311618,115,705,659,hsa05414
ADCY6,True,True,True,3,13.32147461292,960,377,2575,hsa05414
ADCY7,True,False,True,2,9.058747109213591,3776,,,hsa05414
ADCY8,False,True,True,2,,,284,4284,hsa05414
ADCY9,True,False,True,2,8.567605954720412,4469,,,hsa05414
ADCYAP1R1,True,False,False,1,8.719833389299705,4238,,,
ADD1,False,True,False,1,,,447,1838,
ADD2,True,False,False,1,13.008943245251638,1058,,,
ADGRA1-AS1,False,True,False,1,,,360,2797,
ADGRA2,True,False,False,1,15.926658614012682,455,,,
ADGRA3,True,False,False,1,8.364849083275143,4791,,,
ADGRB2,True,False,False,1,15.110910185362808,577,,,
ADGRB3,True,False,False,1,9.220154958554366,3556,,,
ADGRD1,True,False,False,1,12.14427241746168,1349,,,
ADGRE1,False,True,False,1,,,281,4355,
ADGRE2,False,True,False,1,,,398,2324,
ADGRE3,False,True,False,1,,,540,1211,
ADGRE5,True,False,False,1,10.439861654961916,2376,,,
ADGRF5,True,False,False,1,17.000018610427365,330,,,
ADGRG1,True,False,False,1,11.645510351965088,1581,,,
ADGRG6,True,False,False,1,11.792364385443994,1513,,,
ADGRL1,True,False,False,1,10.687579474816976,2187,,,
ADGRL3,True,False,False,1,15.2728742494438,553,,,
ADGRL4,True,False,False,1,14.25887242937218,736,,,
ADGRV1,False,True,False,1,,,694,692,
ADH1B,True,False,False,1,20.20724188804703,178,,,
ADH1C,True,False,False,1,8.42611608291439,4688,,,
ADIPOQ,True,False,False,1,8.604627173902335,4402,,,
ADIRF,True,False,False,1,19.087695080258584,221,,,
ADM2,True,False,False,1,8.82296954154142,4091,,,
ADORA1,True,False,False,1,13.724032464520356,865,,,
ADORA2A,True,False,False,1,9.504564176947316,3250,,,
ADPGK,False,True,False,1,,,307,3721,
ADPRHL1,True,True,False,2,18.076561956120074,260,567,1088,
ADRA1A,True,True,False,2,9.4991226010263,3252,293,4064,
ADRA2B,True,False,False,1,9.069340254854358,3767,,,
ADRB1,True,False,True,2,9.022491528219424,3825,,,hsa05414
ADRM1,True,False,False,1,8.498149398241953,4580,,,
ADSS1,True,True,False,2,9.683013636962036,3048,279,4421,
AEBP1,True,False,False,1,14.69197576569958,652,,,
AFAP1,True,False,False,1,9.524877003004644,3225,,,
AFAP1L1,True,False,False,1,10.59598515040166,2261,,,
AFAP1L2,True,False,False,1,10.614586067284296,2246,,,
AFDN,True,False,False,1,9.16653841207894,3633,,,
AFF2,True,False,False,1,8.308294709230365,4887,,,
AFF4,False,True,False,1,,,586,995,
AFG3L1P,False,True,False,1,,,355,2880,
AFM,False,True,False,1,,,355,2869,
AFP,True,False,False,1,12.148991435553391,1346,,,
AFTPH,False,True,False,1,,,299,3904,
AGAP2,True,False,False,1,10.355850057751782,2433,,,
AGAP2-AS1,True,False,False,1,11.23721591392258,1850,,,
AGAP3,True,True,False,2,10.011579086917866,2725,742,583,
AGAP5,False,True,False,1,,,268,4718,
AGFG1,False,True,False,1,,,555,1150,
AGO3,False,True,False,1,,,594,968,
AGPAT1,True,False,False,1,18.895942492837516,228,,,
AGPAT2,True,False,False,1,10.676326185387705,2196,,,
AGPS,False,True,False,1,,,398,2321,
AGRN,True,False,False,1,17.57751899071697,290,,,
AGT,True,False,True,2,11.621925447122154,1602,,,both
AGTR1,True,False,False,1,9.330972307731344,3420,,,
AGXT2,False,True,False,1,,,341,3084,
AHCTF1,False,True,False,1,,,269,4691,
AHCY,True,False,False,1,8.375401318725755,4768,,,
AHI1-DT,False,True,False,1,,,1999,30,
AHNAK,True,False,False,1,12.151724567119611,1345,,,
AHNAK2,True,False,False,1,14.446898159541345,704,,,
AHR,True,False,False,1,8.775916047103602,4163,,,
AHRR,True,False,False,1,8.965686341154674,3914,,,
AHSG,True,False,False,1,9.016510524952968,3837,,,
AIDAP1,False,True,False,1,,,371,2651,
AIF1,True,True,False,2,12.527181813153971,1203,445,1862,
AIF1L,True,False,False,1,16.517180635024836,377,,,
AIG1P1,False,True,False,1,,,927,366,
AIMP1,False,True,False,1,,,438,1926,
AJM1,True,False,False,1,8.993999711964046,3867,,,
AJUBA,True,False,False,1,9.63044512652338,3106,,,
AK5,True,False,False,1,8.882034119603874,4024,,,
AKAP1,True,False,False,1,8.735152034205347,4219,,,
AKAP10,False,True,False,1,,,279,4403,
AKAP12,True,False,False,1,9.360260163003524,3387,,,
AKAP6,True,True,False,2,15.803703378733234,472,462,1702,
AKAP8P1,False,True,False,1,,,534,1237,
AKR1C1,True,False,False,1,10.0495604749251,2690,,,
AKR1C2,True,False,False,1,9.134922838134052,3670,,,
AKR1C3,True,False,False,1,9.824294061341249,2894,,,
AKR1C4,False,True,False,1,,,307,3725,
AKR7L,False,True,False,1,,,373,2622,
AKT1,True,True,False,2,10.364902363144957,2425,496,1471,
AKT1S1,True,True,False,2,9.689064517404043,3045,346,3018,
AKT3,True,False,False,1,13.626434630744876,886,,,
AKT3-IT1,False,True,False,1,,,620,882,
ALAS2,True,False,False,1,11.096150308653304,1936,,,
ALB,True,False,False,1,13.37285905414476,951,,,
ALCAM,True,False,False,1,9.595174158248543,3150,,,
ALDH18A1,True,False,False,1,8.304343566590259,4896,,,
ALDH1A1,True,False,False,1,15.411670252934275,537,,,
ALDH1A2,True,False,False,1,10.931017524882902,2034,,,
