gene,in_variance_set,in_centrality_set,in_kegg_set,n_sources,variance,variance_rank,in_degree,centrality_rank,kegg_pathway
A2M,True,False,False,1,20.15328182179736,181.0,,,
A2ML1,False,True,False,1,,,281.0,4352.0,
A4GALT,True,False,False,1,12.683076056541235,1146.0,,,
AAMP,True,True,False,2,8.937867475536132,3948.0,309.0,3673.0,
AAR2,False,True,False,1,,,432.0,1978.0,
AASDH,False,True,False,1,,,273.0,4580.0,
ABAT,True,False,False,1,9.35921486662768,3388.0,,,
ABCA10,False,True,False,1,,,308.0,3698.0,
ABCA2,True,True,False,2,13.600965258497776,892.0,295.0,4011.0,
ABCA3,True,False,False,1,11.426998460159531,1720.0,,,
ABCA6,True,False,False,1,11.196364997880158,1874.0,,,
ABCA7,True,False,False,1,9.104560970656356,3712.0,,,
ABCA8,True,False,False,1,12.46923370224186,1215.0,,,
ABCA9,True,False,False,1,9.725373138818869,3000.0,,,
ABCB1,True,False,False,1,10.593145517659613,2267.0,,,
ABCB4,True,False,False,1,11.159635516713893,1899.0,,,
ABCB8,True,True,False,2,9.154806131045904,3651.0,524.0,1291.0,
ABCC1,True,False,False,1,12.509128349659363,1206.0,,,
ABCC3,True,False,False,1,10.163063312470973,2601.0,,,
ABCC5,False,True,False,1,,,271.0,4641.0,
ABCC8,False,True,False,1,,,663.0,766.0,
ABCC9,True,False,False,1,10.627844336564642,2242.0,,,
ABCD1,True,False,False,1,10.356063151429808,2432.0,,,
ABCD2,True,False,False,1,10.127355580396172,2624.0,,,
ABCD3,False,True,False,1,,,298.0,3933.0,
ABCE1,False,True,False,1,,,313.0,3607.0,
ABCF2-H2BK1,True,False,False,1,12.622689459980826,1163.0,,,
ABCF3,False,True,False,1,,,814.0,486.0,
ABCG1,True,False,False,1,9.744346113471796,2988.0,,,
ABCG5,False,True,False,1,,,338.0,3137.0,
ABCG8,False,True,False,1,,,494.0,1482.0,
ABHD16A,True,False,False,1,8.303417906881634,4898.0,,,
ABHD18,False,True,False,1,,,289.0,4152.0,
ABHD8,True,True,False,2,9.099328994428182,3725.0,266.0,4776.0,
ABI3,True,False,False,1,13.123334694000611,1018.0,,,
ABI3BP,True,False,False,1,13.481069611258304,919.0,,,
ABL1,True,True,False,2,10.045597544592992,2695.0,459.0,1727.0,
ABLIM1,True,False,False,1,10.846668388605847,2092.0,,,
ABLIM3,True,False,False,1,11.981486578657693,1418.0,,,
ABR,True,False,False,1,11.889312618097078,1474.0,,,
ABRA,True,False,False,1,11.51929402253895,1656.0,,,
ABRAXAS2,False,True,False,1,,,292.0,4090.0,
ABTB1,True,False,False,1,10.968614671393912,2014.0,,,
ABTB2,True,False,False,1,10.628594746809148,2240.0,,,
ACAA1,True,False,False,1,10.866455713800605,2080.0,,,
ACACA,True,False,False,1,8.679047924535316,4295.0,,,
ACACB,True,True,False,2,11.659669571738538,1577.0,592.0,976.0,
ACAD10,False,True,False,1,,,413.0,2171.0,
ACAD9,False,True,False,1,,,657.0,782.0,
ACADS,True,False,False,1,10.189202226319834,2574.0,,,
ACADVL,True,False,False,1,10.412519386928471,2400.0,,,
ACAP1,False,True,False,1,,,268.0,4710.0,
ACAP3,True,True,False,2,11.141555401006087,1908.0,295.0,4014.0,
ACBD4,False,True,False,1,,,278.0,4450.0,
ACE,True,False,True,2,10.786874449379,2128.0,,,hsa05410
ACE2,True,False,False,1,8.875601710650713,4032.0,,,
ACKR1,True,False,False,1,10.610415606076478,2251.0,,,
ACKR3,True,False,False,1,10.514022238831442,2325.0,,,
ACLY,True,True,False,2,9.221306143356896,3555.0,301.0,3857.0,
ACMSD,False,True,False,1,,,295.0,4018.0,
ACOT1,True,False,False,1,10.07392629722328,2664.0,,,
ACOT11,True,True,False,2,8.378730095855849,4761.0,280.0,4384.0,
ACOT7,True,False,False,1,9.709640734661631,3014.0,,,
ACOX2,True,False,False,1,9.304916390174968,3448.0,,,
ACP2,True,False,False,1,9.631546428542077,3099.0,,,
ACSL1,True,False,False,1,9.096974834707463,3728.0,,,
ACSL5,True,True,False,2,10.357108233246926,2430.0,317.0,3520.0,
ACSM2A,False,True,False,1,,,447.0,1843.0,
ACSM2B,False,True,False,1,,,334.0,3196.0,
ACSM5,True,False,False,1,10.285902676438582,2487.0,,,
ACSS1,True,False,False,1,12.638490622235416,1161.0,,,
ACSS2,True,True,False,2,9.747303181789114,2984.0,279.0,4408.0,
ACSS3,True,False,False,1,10.271599953504492,2505.0,,,
ACTA1,True,False,False,1,31.3194401553505,30.0,,,
ACTA2,True,False,False,1,14.932021994505607,607.0,,,
ACTB,False,False,True,1,,,,,both
ACTC1,True,True,True,3,51.6227207372153,2.0,266.0,4780.0,both
ACTG1,False,False,True,1,,,,,both
ACTG2,True,False,False,1,12.107975171747457,1365.0,,,
ACTL6B,False,True,False,1,,,464.0,1687.0,
ACTN2,True,True,False,2,30.47976750890796,32.0,369.0,2675.0,
ACTN4,True,False,False,1,16.000608551632244,443.0,,,
ACTR1B,False,True,False,1,,,353.0,2909.0,
ACTR8,False,True,False,1,,,279.0,4404.0,
ACVRL1,True,False,False,1,15.140836159758257,573.0,,,
ADA2,True,False,False,1,8.544309020632763,4503.0,,,
ADAD1,False,True,False,1,,,428.0,2028.0,
ADAM11,True,True,False,2,13.420691206808398,936.0,506.0,1415.0,
ADAM12,True,False,False,1,12.44413205977534,1226.0,,,
ADAM15,True,False,False,1,15.521980090106169,516.0,,,
ADAM19,True,False,False,1,10.323035679094623,2461.0,,,
ADAM23,True,False,False,1,11.657459346339593,1578.0,,,
ADAM28,True,False,False,1,8.665895919901871,4316.0,,,
ADAM33,True,False,False,1,12.314691138380237,1284.0,,,
ADAM7,False,True,False,1,,,460.0,1716.0,
ADAM8,True,False,False,1,8.84394731560973,4071.0,,,
ADAM9,True,False,False,1,14.08508665945781,779.0,,,
ADAMTS1,True,False,False,1,10.024742670074486,2713.0,,,
ADAMTS10,True,False,False,1,9.5900708318159,3155.0,,,
ADAMTS12,True,False,False,1,15.993091815351203,444.0,,,
ADAMTS13,False,True,False,1,,,465.0,1685.0,
ADAMTS14,True,False,False,1,13.487453202733484,918.0,,,
ADAMTS15,True,False,False,1,16.672716845922032,361.0,,,
ADAMTS18,True,False,False,1,11.37894807007168,1753.0,,,
ADAMTS19,True,False,False,1,11.42489502821684,1723.0,,,
ADAMTS2,True,True,False,2,13.271814466784935,978.0,306.0,3736.0,
ADAMTS20,False,True,False,1,,,315.0,3563.0,
ADAMTS5,True,False,False,1,10.349866771762889,2441.0,,,
ADAMTS7,True,False,False,1,12.811556439642,1105.0,,,
ADAMTS8,True,False,False,1,12.580013330476534,1177.0,,,
ADAMTS9,True,False,False,1,13.916151515655717,824.0,,,
ADAMTSL1,True,False,False,1,14.486886776129484,697.0,,,
ADAMTSL2,True,False,False,1,10.379411944142424,2421.0,,,
ADAMTSL4,True,False,False,1,12.432697790710996,1231.0,,,
ADAMTSL5,True,False,False,1,10.11536637363366,2632.0,,,
ADAP1,True,False,False,1,8.778065277913244,4157.0,,,
ADAP2,False,True,False,1,,,262.0,4910.0,
ADARB1,True,False,False,1,8.509700752696807,4560.0,,,
ADAT1,False,True,False,1,,,271.0,4638.0,
ADCK2,True,False,False,1,8.542785256022066,4506.0,,,
ADCK5,False,True,False,1,,,276.0,4503.0,
ADCY1,True,True,True,3,9.814306247457443,2905.0,328.0,3310.0,hsa05414
ADCY2,False,False,True,1,,,,,hsa05414
ADCY3,True,False,True,2,9.56874510773518,3173.0,,,hsa05414
ADCY4,True,False,True,2,12.314609626760568,1285.0,,,hsa05414
ADCY5,True,True,True,3,22.569582791311618,115.0,705.0,659.0,hsa05414
ADCY6,True,True,True,3,13.32147461292,960.0,377.0,2575.0,hsa05414
ADCY7,True,False,True,2,9.058747109213591,3776.0,,,hsa05414
ADCY8,False,True,True,2,,,284.0,4284.0,hsa05414
ADCY9,True,False,True,2,8.567605954720412,4469.0,,,hsa05414
ADCYAP1R1,True,False,False,1,8.719833389299705,4238.0,,,
ADD1,False,True,False,1,,,447.0,1838.0,
ADD2,True,False,False,1,13.008943245251638,1058.0,,,
ADGRA2,True,False,False,1,15.926658614012682,455.0,,,
ADGRA3,True,False,False,1,8.364849083275143,4791.0,,,
ADGRB2,True,False,False,1,15.110910185362808,577.0,,,
ADGRB3,True,False,False,1,9.220154958554366,3556.0,,,
ADGRD1,True,False,False,1,12.14427241746168,1349.0,,,
ADGRE1,False,True,False,1,,,281.0,4355.0,
ADGRE2,False,True,False,1,,,398.0,2324.0,
ADGRE3,False,True,False,1,,,540.0,1211.0,
ADGRE5,True,False,False,1,10.439861654961916,2376.0,,,
ADGRF5,True,False,False,1,17.000018610427365,330.0,,,
ADGRG1,True,False,False,1,11.645510351965088,1581.0,,,
ADGRG6,True,False,False,1,11.792364385443994,1513.0,,,
ADGRL1,True,False,False,1,10.687579474816976,2187.0,,,
ADGRL3,True,False,False,1,15.2728742494438,553.0,,,
ADGRL4,True,False,False,1,14.25887242937218,736.0,,,
ADGRV1,False,True,False,1,,,694.0,692.0,
ADH1B,True,False,False,1,20.20724188804703,178.0,,,
ADH1C,True,False,False,1,8.42611608291439,4688.0,,,
ADIPOQ,True,False,False,1,8.604627173902335,4402.0,,,
ADIRF,True,False,False,1,19.087695080258584,221.0,,,
ADM2,True,False,False,1,8.82296954154142,4091.0,,,
ADORA1,True,False,False,1,13.724032464520356,865.0,,,
ADORA2A,True,False,False,1,9.504564176947316,3250.0,,,
ADPGK,False,True,False,1,,,307.0,3721.0,
ADPRHL1,True,True,False,2,18.076561956120074,260.0,567.0,1088.0,
ADRA1A,True,True,False,2,9.4991226010263,3252.0,293.0,4064.0,
ADRA2B,True,False,False,1,9.069340254854358,3767.0,,,
ADRB1,True,False,True,2,9.022491528219424,3825.0,,,hsa05414
ADRM1,True,False,False,1,8.498149398241953,4580.0,,,
ADSS1,True,True,False,2,9.683013636962036,3048.0,279.0,4421.0,
AEBP1,True,False,False,1,14.69197576569958,652.0,,,
