gene,in_variance_set,in_centrality_set,in_kegg_set,n_sources,variance_rank,centrality_rank,ensg_ids,biotype
ACTA2-AS1,True,False,False,1,1064.0,,ENSG00000180139,LNCRNA
ACTBP11,False,True,False,1,,3968.0,ENSG00000188460,PROCESSED_PSEUDOGENE
ACTBP2,False,True,False,1,,3585.0,ENSG00000213763,PROCESSED_PSEUDOGENE
ACTBP9,False,True,False,1,,4081.0,ENSG00000266920,PROCESSED_PSEUDOGENE
ADARB2-AS1,False,True,False,1,,1531.0,ENSG00000205696,LNCRNA
ADCY10P1,False,True,False,1,,4842.0,ENSG00000161912,TRANSCRIBED_UNPROCESSED_PSEUDOGENE
ADGRA1-AS1,False,True,False,1,,2797.0,ENSG00000256925,LNCRNA
AFG3L1P,False,True,False,1,,2880.0,ENSG00000223959,TRANSCRIBED_UNITARY_PSEUDOGENE
AGAP2-AS1,True,False,False,1,1850.0,,ENSG00000255737,LNCRNA
AHI1-DT,False,True,False,1,,30.0,ENSG00000231028,LNCRNA
AIDAP1,False,True,False,1,,2651.0,ENSG00000230154,PROCESSED_PSEUDOGENE
AIG1P1,False,True,False,1,,366.0,ENSG00000249089,UNPROCESSED_PSEUDOGENE
AKAP8P1,False,True,False,1,,1237.0,ENSG00000234146,PROCESSED_PSEUDOGENE
AKT3-IT1,False,True,False,1,,882.0,ENSG00000228939,LNCRNA
ALDH1L1-AS2,False,True,False,1,,3487.0,ENSG00000246022,LNCRNA
ALOX12P2,False,True,False,1,,3927.0,ENSG00000262943,TRANSCRIBED_UNPROCESSED_PSEUDOGENE
ALOX15P2,False,True,False,1,,459.0,ENSG00000188101,UNPROCESSED_PSEUDOGENE
ANAPC1P2,True,False,False,1,3724.0,,ENSG00000231259,UNPROCESSED_PSEUDOGENE
ANKRD20A19P,False,True,False,1,,4848.0,ENSG00000196593,TRANSCRIBED_UNPROCESSED_PSEUDOGENE
ANKRD44-IT1,False,True,False,1,,3845.0,ENSG00000236977,LNCRNA
ANTXRLP1,False,True,False,1,,3283.0,ENSG00000263482,UNPROCESSED_PSEUDOGENE
AOAH-IT1,False,True,False,1,,712.0,ENSG00000230539,LNCRNA
AP1G2-AS1,True,False,False,1,4511.0,,ENSG00000258727,LNCRNA
APRG1,False,True,False,1,,91.0,ENSG00000198590,LNCRNA
APTR,False,True,False,1,,3681.0,ENSG00000214293,LNCRNA
AQP4-AS1,False,True,False,1,,4269.0,ENSG00000260372,LNCRNA
ARGFXP2,False,True,False,1,,2906.0,ENSG00000265293,PROCESSED_PSEUDOGENE
ARHGAP15-AS1,False,True,False,1,,1025.0,ENSG00000231758,LNCRNA
ARHGAP26-AS1,False,True,False,1,,838.0,ENSG00000226272,LNCRNA
ARHGAP26-IT1,False,True,False,1,,1946.0,ENSG00000230789,LNCRNA
ARHGEF26-AS1,False,True,False,1,,1591.0,"ENSG00000243069,ENSG00000281157",LNCRNA
ARHGEF7-IT1,False,True,False,1,,954.0,ENSG00000233644,LNCRNA
ARHGEF9-IT1,False,True,False,1,,1904.0,ENSG00000231729,LNCRNA
ARMCX7P,True,False,False,1,3363.0,,ENSG00000204072,TRANSCRIBED_UNPROCESSED_PSEUDOGENE
ARRDC1-AS1,False,True,False,1,,4240.0,ENSG00000203993,LNCRNA
ARRDC3-AS1,False,True,False,1,,1171.0,ENSG00000281357,LNCRNA
ASMTL-AS1,False,True,False,1,,4268.0,ENSG00000236017,LNCRNA
ASTN2-AS1,False,True,False,1,,170.0,ENSG00000229105,LNCRNA
ATG10-AS1,False,True,False,1,,101.0,ENSG00000248192,LNCRNA
ATP5MC2P3,False,True,False,1,,660.0,ENSG00000230482,PROCESSED_PSEUDOGENE
ATP5MKP1,False,True,False,1,,3864.0,ENSG00000231549,PROCESSED_PSEUDOGENE
ATP5PBP1,False,True,False,1,,2121.0,ENSG00000224451,PROCESSED_PSEUDOGENE
ATP6V0E1P1,False,True,False,1,,1284.0,ENSG00000225364,PROCESSED_PSEUDOGENE
ATP8A2P2,False,True,False,1,,783.0,ENSG00000229800,PROCESSED_PSEUDOGENE
B3GALNT1P1,False,True,False,1,,4363.0,ENSG00000229948,PROCESSED_PSEUDOGENE
B3GALT5-AS1,False,True,False,1,,2987.0,ENSG00000184809,LNCRNA
BAGE2,False,True,False,1,,2263.0,ENSG00000187172,TRANSCRIBED_UNPROCESSED_PSEUDOGENE
BANCR,True,False,False,1,344.0,,ENSG00000278910,LNCRNA
BASP1-AS1,False,True,False,1,,483.0,ENSG00000215196,LNCRNA
BBS7-DT,False,True,False,1,,71.0,ENSG00000261501,LNCRNA
BCDIN3D-AS1,False,True,False,1,,3796.0,ENSG00000258057,LNCRNA
BCL10-AS1,False,True,False,1,,4851.0,ENSG00000223653,LNCRNA
BCYRN1,True,False,False,1,265.0,,ENSG00000236824,SCRNA
BIRC6-AS2,False,True,False,1,,482.0,ENSG00000279897,TRANSCRIBED_UNPROCESSED_PSEUDOGENE
BMP2KL,False,True,False,1,,17.0,ENSG00000204113,PROCESSED_PSEUDOGENE
BMS1P1,False,True,False,1,,2971.0,ENSG00000204177,TRANSCRIBED_UNPROCESSED_PSEUDOGENE
BNIP3P25,False,True,False,1,,982.0,ENSG00000268322,PROCESSED_PSEUDOGENE
BRD7P1,False,True,False,1,,2798.0,"ENSG00000259043,ENSG00000284831",PROCESSED_PSEUDOGENE
BRD7P3,False,True,False,1,,1310.0,ENSG00000169075,PROCESSED_PSEUDOGENE
BRD7P4,False,True,False,1,,610.0,ENSG00000218676,PROCESSED_PSEUDOGENE
BVES-AS1,False,True,False,1,,3168.0,ENSG00000203808,LNCRNA
BZW1P2,True,False,False,1,1406.0,,ENSG00000198406,PROCESSED_PSEUDOGENE
C10ORF95-AS1,False,True,False,1,,4707.0,ENSG00000269609,LNCRNA
C1ORF220,False,True,False,1,,1963.0,ENSG00000213057,LNCRNA
C21ORF62-AS1,False,True,False,1,,239.0,"ENSG00000205930,ENSG00000263140",LNCRNA
C3P1,False,True,False,1,,1802.0,ENSG00000167798,TRANSCRIBED_UNPROCESSED_PSEUDOGENE
C4BPAP1,False,True,False,1,,1041.0,ENSG00000224462,UNPROCESSED_PSEUDOGENE
C4BPAP2,False,True,False,1,,1868.0,ENSG00000232621,UNPROCESSED_PSEUDOGENE
C4B_2,True,False,False,1,1089.0,,ENSG00000233312,PROTEIN_CODING
C4ORF46P2,False,True,False,1,,2902.0,ENSG00000248503,TRANSCRIBED_PROCESSED_PSEUDOGENE
C5ORF64,False,True,False,1,,25.0,ENSG00000178722,LNCRNA
C8ORF34-AS1,False,True,False,1,,791.0,ENSG00000248801,LNCRNA
CACNA1C-IT3,False,True,False,1,,2437.0,"ENSG00000256721,ENSG00000284775",LNCRNA
CACNA2D1-AS1,False,True,False,1,,114.0,ENSG00000223770,LNCRNA
CACNA2D3-AS1,False,True,False,1,,661.0,ENSG00000243715,LNCRNA
CADM2-AS1,False,True,False,1,,115.0,ENSG00000239519,LNCRNA
CADM2-AS2,False,True,False,1,,102.0,ENSG00000241648,LNCRNA
CAMTA1-AS2,False,True,False,1,,4917.0,ENSG00000237728,LNCRNA
CARMN,True,False,False,1,3089.0,,ENSG00000249669,LNCRNA
CASC17,False,True,False,1,,2052.0,ENSG00000260785,LNCRNA
CASC19,False,True,False,1,,2729.0,ENSG00000254166,LNCRNA
CASC9,False,True,False,1,,2881.0,ENSG00000249395,LNCRNA
CBX3P3,False,True,False,1,,1398.0,ENSG00000250045,PROCESSED_PSEUDOGENE
CBX5P1,False,True,False,1,,1672.0,ENSG00000241535,PROCESSED_PSEUDOGENE
CCDC183-AS1,False,True,False,1,,3124.0,ENSG00000228544,LNCRNA
CCDC26,False,True,False,1,,825.0,ENSG00000229140,LNCRNA
CCNB2P1,False,True,False,1,,454.0,ENSG00000214998,PROCESSED_PSEUDOGENE
CCNB3P1,False,True,False,1,,4098.0,ENSG00000249616,PROCESSED_PSEUDOGENE
CCNY-AS1,False,True,False,1,,3386.0,ENSG00000271335,LNCRNA
CDC27P3,False,True,False,1,,4054.0,ENSG00000283005,PROCESSED_PSEUDOGENE
CDH3-AS1,True,True,False,2,4078.0,1871.0,ENSG00000260577,LNCRNA
CDK4P1,False,True,False,1,,3295.0,ENSG00000225036,PROCESSED_PSEUDOGENE
CDPF1P1,False,True,False,1,,3277.0,ENSG00000227799,PROCESSED_PSEUDOGENE
CEBPB-AS1,False,True,False,1,,413.0,ENSG00000277449,LNCRNA
CELF2-AS1,True,False,False,1,4764.0,,ENSG00000181800,LNCRNA
CELF2-DT,False,True,False,1,,408.0,ENSG00000270111,LNCRNA
CENPUP2,False,True,False,1,,1113.0,ENSG00000258546,PROCESSED_PSEUDOGENE
CHCHD4P5,False,True,False,1,,72.0,ENSG00000225222,PROCESSED_PSEUDOGENE
CHD1-DT,False,True,False,1,,1304.0,ENSG00000248489,LNCRNA
CHMP1B-AS1,True,False,False,1,3034.0,,ENSG00000267165,LNCRNA
CHP1P1,False,True,False,1,,2484.0,ENSG00000248930,PROCESSED_PSEUDOGENE
CIRBP-AS1,False,True,False,1,,3147.0,ENSG00000267493,LNCRNA
CLEC12A-AS1,False,True,False,1,,3501.0,ENSG00000231560,LNCRNA
CLK2P1,False,True,False,1,,4854.0,ENSG00000232553,PROCESSED_PSEUDOGENE
CNIH3-AS2,False,True,False,1,,2165.0,ENSG00000233384,LNCRNA
CNTN4-AS2,False,True,False,1,,3004.0,ENSG00000227588,LNCRNA
COL25A1-DT,False,True,False,1,,4722.0,ENSG00000246774,LNCRNA
COPB2-DT,False,True,False,1,,4432.0,ENSG00000248932,LNCRNA
COPG2IT1,True,False,False,1,3111.0,,ENSG00000286214,LNCRNA
COPS8-DT,False,True,False,1,,1791.0,ENSG00000227252,LNCRNA
COX10-DT,False,True,False,1,,1804.0,ENSG00000236088,LNCRNA
COX5BP3,False,True,False,1,,202.0,ENSG00000235967,PROCESSED_PSEUDOGENE
CPB2-AS1,False,True,False,1,,4510.0,ENSG00000235903,LNCRNA
CPEB2-DT,False,True,False,1,,4590.0,"ENSG00000247624,ENSG00000282962",LNCRNA
CRMA,True,True,False,2,397.0,2764.0,ENSG00000174403,LNCRNA
CROCCP3,False,True,False,1,,504.0,ENSG00000080947,TRANSCRIBED_UNPROCESSED_PSEUDOGENE
CRYZP1,False,True,False,1,,2975.0,"ENSG00000233025,ENSG00000282789",PROCESSED_PSEUDOGENE
CSMD2-AS1,False,True,False,1,,2508.0,ENSG00000231163,LNCRNA
CSNK1G2P1,False,True,False,1,,2635.0,ENSG00000234534,PROCESSED_PSEUDOGENE
CSPG4P10,True,False,False,1,4520.0,,"ENSG00000276710,ENSG00000282457",TRANSCRIBED_UNPROCESSED_PSEUDOGENE
CSPG4P11,True,True,False,2,4359.0,4756.0,ENSG00000259726,TRANSCRIBED_UNPROCESSED_PSEUDOGENE
CSPG4P12,False,True,False,1,,3489.0,ENSG00000259295,TRANSCRIBED_UNPROCESSED_PSEUDOGENE
CTBP1-AS,False,True,False,1,,1993.0,ENSG00000280927,LNCRNA
CTBP2P2,False,True,False,1,,4751.0,ENSG00000235746,PROCESSED_PSEUDOGENE
CYP2U1-AS1,False,True,False,1,,2693.0,ENSG00000245293,LNCRNA
CYYR1-AS1,False,True,False,1,,60.0,ENSG00000197934,LNCRNA
CZIB-DT,False,True,False,1,,96.0,ENSG00000259818,LNCRNA
DANT1,True,False,False,1,4679.0,,ENSG00000229335,LNCRNA
DDX18P5,False,True,False,1,,211.0,ENSG00000255220,PROCESSED_PSEUDOGENE
DDX3ILA1,False,True,False,1,,3023.0,ENSG00000232756,LNCRNA
DDX3P1,False,True,False,1,,3588.0,ENSG00000232928,PROCESSED_PSEUDOGENE
DEFB122,False,True,False,1,,4480.0,ENSG00000204547,TRANSCRIBED_UNPROCESSED_PSEUDOGENE
DELEC1,False,True,False,1,,260.0,ENSG00000173077,LNCRNA
DEPDC1P1,False,True,False,1,,584.0,ENSG00000259358,PROCESSED_PSEUDOGENE
