gene,in_degree,centrality_rank,selected
FRG1-DT,3241,1,True
FRG1-DT,3241,2,True
LINC01226,2866,3,True
SNRPGP18,2821,4,True
ENSG00000273507,2807,5,True
ENSG00000227948,2660,6,True
ENSG00000286316,2530,7,True
ENSG00000286706,2426,8,True
ENSG00000288104,2420,9,True
ENSG00000281180,2416,10,True
ENSG00000279467,2415,11,True
SUMO2P8,2358,12,True
ENSG00000272406,2301,13,True
ENSG00000260288,2256,14,True
LINC00320,2235,15,True
ENSG00000218521,2229,16,True
BMP2KL,2206,17,True
ENSG00000287373,2166,18,True
LINC01285,2162,19,True
ENSG00000225017,2162,20,True
ENSG00000274397,2150,21,True
ENSG00000253452,2133,22,True
ENSG00000270174,2088,23,True
LINC01192,2077,24,True
C5ORF64,2063,25,True
ENSG00000287671,2045,26,True
ENSG00000261451,2033,27,True
ENSG00000260194,2031,28,True
ENSG00000287611,2031,29,True
AHI1-DT,1999,30,True
ENSG00000269514,1991,31,True
POU5F2,1981,32,True
EPIC1,1980,33,True
LINC01562,1975,34,True
ENSG00000243621,1882,35,True
ENSG00000254538,1880,36,True
ENSG00000288091,1852,37,True
ERVW-1,1825,38,True
RNU11-2P,1814,39,True
ENSG00000262803,1814,40,True
RN7SL648P,1799,41,True
ENSG00000284722,1796,42,True
ENSG00000287177,1796,43,True
ENSG00000260733,1793,44,True
ENSG00000237704,1781,45,True
ENSG00000279217,1779,46,True
GNAO1-DT,1772,47,True
OR2A5,1763,48,True
ENSG00000270421,1758,49,True
ENSG00000287189,1757,50,True
ZBTB20-AS5,1750,51,True
NIP7P3,1739,52,True
LINC02324,1727,53,True
OR2A5,1709,54,True
ENSG00000252904,1707,55,True
ENSG00000236858,1703,56,True
C2ORF50,1702,57,True
ENSG00000230826,1699,58,True
ENSG00000286274,1694,59,True
CYYR1-AS1,1687,60,True
LINC01949,1672,61,True
ENSG00000283509,1654,62,True
ENSG00000287000,1652,63,True
LINC00276,1650,64,True
ENSG00000230894,1646,65,True
LINC01205,1641,66,True
ENSG00000279652,1639,67,True
ENSG00000242753,1616,68,True
RNU4ATAC16P,1599,69,True
MIR1255B2,1599,70,True
BBS7-DT,1578,71,True
CHCHD4P5,1571,72,True
ENSG00000218313,1567,73,True
ENSG00000213287,1556,74,True
ENSG00000217488,1553,75,True
ENSG00000287920,1552,76,True
ENSG00000261826,1541,77,True
OR5A2,1531,78,True
OR4D9,1528,79,True
ENSG00000274614,1522,80,True
RNU6-107P,1512,81,True
IFNK,1508,82,True
LINC00499,1506,83,True
LINC00652,1502,84,True
ENSG00000224810,1502,85,True
DHFRP2,1502,86,True
ENSG00000286679,1502,87,True
RIT2,1496,88,True
LINC01727,1491,89,True
ENSG00000227486,1487,90,True
APRG1,1486,91,True
ENSG00000279080,1486,92,True
ENSG00000287667,1486,93,True
HTN1,1459,94,True
TTLL7-IT1,1456,95,True
CZIB-DT,1456,96,True
ENSG00000287998,1455,97,True
MIR548AJ2,1453,98,True
ENSG00000201343,1447,99,True
ENSG00000287258,1442,100,True
ATG10-AS1,1439,101,True
CADM2-AS2,1435,102,True
ENSG00000251152,1432,103,True
RNU6-199P,1421,104,True
ENSG00000258930,1421,105,True
ENSG00000281015,1421,106,True
HSDL2-AS1,1410,107,True
ARGFX,1406,108,True
NKAIN3,1404,109,True
ENSG00000287355,1400,110,True
ENSG00000231863,1399,111,True
ENSG00000285749,1393,112,True
ENSG00000287105,1387,113,True
CACNA2D1-AS1,1382,114,True
CADM2-AS1,1378,115,True
ENSG00000267879,1377,116,True
ENSG00000259481,1371,117,True
LPP-AS1,1370,118,True
LINC02013,1365,119,True
ENSG00000233539,1363,120,True
ENSG00000248744,1355,121,True
ENSG00000260072,1355,122,True
ENSG00000254302,1353,123,True
ENSG00000199938,1350,124,True
ENSG00000265484,1343,125,True
ENSG00000287754,1336,126,True
MYO3B-AS1,1335,127,True
ENSG00000269945,1331,128,True
FAM242A,1330,129,True
ENSG00000236583,1329,130,True
LINC01422,1328,131,True
OR6B1,1322,132,True
ENSG00000232184,1321,133,True
OR6B1,1321,134,True
ENSG00000271146,1320,135,True
ENSG00000259866,1317,136,True
ENSG00000285651,1312,137,True
ENSG00000287439,1311,138,True
LINC02964,1309,139,True
ENSG00000231731,1306,140,True
LINC02558,1305,141,True
L3MBTL4-AS1,1303,142,True
ENSG00000284196,1301,143,True
SAG,1300,144,True
ENSG00000287452,1299,145,True
SAG,1297,146,True
ENSG00000283118,1296,147,True
ENSG00000257470,1281,148,True
ZNF75CP,1278,149,True
LINC01442,1275,150,True
LGALSL-DT,1273,151,True
ENSG00000241546,1269,152,True
ENSG00000271500,1269,153,True
ENSG00000287565,1268,154,True
ENSG00000285310,1265,155,True
ENSG00000258455,1262,156,True
ENSG00000264196,1261,157,True
ENSG00000285039,1257,158,True
ENSG00000282385,1256,159,True
LINC01206,1255,160,True
PIGFP2,1250,161,True
ENSG00000273374,1243,162,True
ENSG00000232537,1235,163,True
ENSG00000275383,1235,164,True
ENSG00000288467,1235,165,True
ENSG00000283519,1234,166,True
RNU6-1188P,1232,167,True
USP12P2,1227,168,True
ENSG00000275963,1226,169,True
ASTN2-AS1,1222,170,True
LINC01721,1220,171,True
OR2AT4,1219,172,True
OR2M4,1217,173,True
ENSG00000200351,1217,174,True
ENSG00000270893,1213,175,True
HTN1,1213,176,True
ENSG00000286741,1211,177,True
ENSG00000285980,1210,178,True
MIR548D1,1209,179,True
ENSG00000286245,1208,180,True
LINC01359,1207,181,True
ENSG00000290118,1207,182,True
ENSG00000261837,1204,183,True
LINC02857,1201,184,True
MIR548AA1,1198,185,True
ENSG00000286100,1198,186,True
DNAJB6P7,1197,187,True
ENSG00000285778,1195,188,True
RNU6-681P,1193,189,True
ENSG00000260694,1193,190,True
ZNF350-AS1,1188,191,True
ENSG00000287214,1185,192,True
LINC00621,1184,193,True
ENSG00000260271,1181,194,True
ENSG00000265494,1181,195,True
RALGAPB,1178,196,True
SLC22A25,1177,197,True
RNU6-82P,1177,198,True
KANSL1L-AS1,1177,199,True
TPH2,1173,200,True
OR8A1,1171,201,True
COX5BP3,1171,202,True
ENSG00000286681,1171,203,True
ENSG00000236957,1165,204,True
TAS2R13,1158,205,True
RNU6-341P,1158,206,True
ENSG00000288016,1158,207,True
TAS2R13,1157,208,True
TAS2R13,1156,209,True
ENSG00000287299,1156,210,True
DDX18P5,1152,211,True
ENSG00000271519,1152,212,True
MIR1296,1148,213,True
ENSG00000238966,1144,214,True
PDHA1P1,1143,215,True
LINC01409,1140,216,True
LZTR1,1139,217,True
ENSG00000202514,1135,218,True
LINC01445,1135,219,True
ENSG00000286327,1132,220,True
ENSG00000287555,1132,221,True
STX18-AS1,1130,222,True
ENSG00000257277,1129,223,True
ENSG00000270314,1129,224,True
ENSG00000218757,1128,225,True
ENSG00000233928,1128,226,True
ENSG00000288679,1122,227,True
RNASEH2B-AS1,1118,228,True
ENSG00000285971,1118,229,True
ENSG00000286891,1113,230,True
ENSG00000278920,1112,231,True
ENSG00000249028,1111,232,True
LINC00836,1111,233,True
ENSG00000230794,1107,234,True
RNU6-198P,1105,235,True
LINC01499,1105,236,True
LINC02645,1103,237,True
ENSG00000286450,1102,238,True
C21ORF62-AS1,1100,239,True
TMCO5A,1096,240,True
ENSG00000233021,1095,241,True
TSHR,1094,242,True
LINC01608,1090,243,True
ENSG00000271860,1088,244,True
ENSG00000207117,1085,245,True
ENSG00000280660,1078,246,True
ENSG00000279159,1072,247,True
ENSG00000260033,1069,248,True
OR10H5,1068,249,True
MYT1L,1066,250,True
SMC2-DT,1066,251,True
ENSG00000279085,1066,252,True
LINC01761,1065,253,True
RNU4-72P,1059,254,True
ENSG00000237720,1058,255,True
GMDS-DT,1058,256,True
TMEM212-AS1,1057,257,True
ENSG00000200502,1056,258,True
ENSG00000233877,1056,259,True
DELEC1,1055,260,True
ENSG00000250453,1053,261,True
ENSG00000285627,1053,262,True
PRKCE-AS1,1051,263,True
ENSG00000247810,1050,264,True
ENSG00000230815,1049,265,True
ENSG00000285682,1049,266,True
FBXO15,1047,267,True
ENSG00000260261,1046,268,True
C12ORF40,1044,269,True
PAXBP1-AS1,1043,270,True
ENSG00000266696,1043,271,True
ENSG00000286956,1043,272,True
ENSG00000255087,1042,273,True
ENSG00000280030,1037,274,True
WDR82,1034,275,True
UHRF2P1,1034,276,True
ENSG00000268416,1034,277,True
ENSG00000272054,1032,278,True
LINC01046,1029,279,True
ENSG00000287719,1027,280,True
HELLPAR,1025,281,True
LINC01378,1023,282,True
ENSG00000287067,1022,283,True
ENSG00000287106,1022,284,True
ENSG00000259103,1019,285,True
ENSG00000286548,1018,286,True
ENSG00000287558,1017,287,True
MIR4280HG,1016,288,True
TIGD1,1014,289,True
ENSG00000228793,1014,290,True
ENSG00000237283,1013,291,True
ENSG00000286802,1013,292,True
LINC00507,1012,293,True
ENSG00000249593,1011,294,True
LINC00907,1011,295,True
LINC01643,1010,296,True
OR6Y1,1009,297,True
ENSG00000285486,1009,298,True
ENSG00000224972,1005,299,True
LINC01877,1005,300,True
NUDT16-DT,1004,301,True
ENSG00000260370,1004,302,True
ENSG00000207286,1002,303,True
ENSG00000233665,999,304,True
ENSG00000239835,998,305,True
ENSG00000287682,997,306,True
ENSG00000223944,994,307,True
SCARNA3,992,308,True
ENSG00000285309,992,309,True
ENSG00000249642,991,310,True
MIR548H4,990,311,True
ENSG00000286833,990,312,True
BPIFA3,988,313,True
ENSG00000278784,988,314,True
UBE3C,987,315,True
ENSG00000280007,986,316,True
KRT18P57,984,317,True
ENSG00000286403,984,318,True
ENSG00000287424,983,319,True
OR5A1,982,320,True
ENSG00000222467,981,321,True
ENSG00000283183,981,322,True
SFTPD-AS1,980,323,True
ENSG00000282124,980,324,True
ENSG00000285706,974,325,True
GPR107,973,326,True
ENSG00000228076,972,327,True
ENSG00000251682,972,328,True
MIR548C,970,329,True
ENSG00000287963,968,330,True
MIR548Z,967,331,True
LINC00174,965,332,True
ENSG00000226854,965,333,True
NDUFA3P2,965,334,True
VIRMA,963,335,True
S100A7A,962,336,True
ENSG00000280341,962,337,True
ENSG00000285603,962,338,True
TMEM14EP,960,339,True
MBD1,956,340,True
ENSG00000255396,954,341,True
LINC01964,954,342,True
YBX1P3,953,343,True
ENSG00000287977,953,344,True
ENSG00000250069,952,345,True
FGF14-IT1,951,346,True
ENSG00000287933,951,347,True
ENSG00000280356,950,348,True
NPFFR1,948,349,True
ENSG00000212181,944,350,True
SRMP2,943,351,True
ENSG00000252975,942,352,True
LINC02073,942,353,True
MIR548F1,940,354,True
OR7E25P,938,355,True
ENSG00000258670,937,356,True
LHFPL5,936,357,True
DISC1-IT1,936,358,True
ENSG00000276272,934,359,True
RNU2-41P,931,360,True
ENSG00000272918,931,361,True
RGSL1,929,362,True
MKRN5P,929,363,True
ENSG00000253317,929,364,True
ENSG00000253912,929,365,True
AIG1P1,927,366,True
ENSG00000212461,926,367,True
TGM6,924,368,True
L3MBTL1,924,369,True
SPATA31D5P,922,370,True
ENSG00000287112,922,371,True
ENSG00000253377,921,372,True
PRNCR1,921,373,True
ENSG00000285930,919,374,True
ENSG00000286366,919,375,True
ENSG00000251002,918,376,True
RNU6-1283P,917,377,True
LINC02175,917,378,True
NCBP1,915,379,True
ENSG00000271410,914,380,True
GABRG3-AS1,913,381,True
PAFAH1B1,910,382,True
ENSG00000265815,908,383,True
ENSG00000275512,908,384,True
ENSG00000286470,908,385,True
LAMTOR5-AS1,907,386,True
ENSG00000261654,906,387,True
ELP1,904,388,True
EIF1B-AS1,903,389,True
OR5AS1,901,390,True
TATDN1P1,901,391,True
ENSG00000270575,901,392,True
RSU1P3,900,393,True
ENSG00000288056,900,394,True
ENSG00000202141,898,395,True
GMEB2,896,396,True
ENSG00000249743,896,397,True
ENSG00000225711,895,398,True
MIR548AA2,890,399,True
MIR548D2,889,400,True
ENSG00000287272,889,401,True
ENSG00000217512,888,402,True
ENSG00000272563,887,403,True
ENSG00000229229,886,404,True
ENSG00000264853,886,405,True
ENSG00000267136,886,406,True
ENSG00000235945,885,407,True
CELF2-DT,885,408,True
LINC00939,884,409,True
ENSG00000235281,883,410,True
ENSG00000285582,883,411,True
ENSG00000280011,881,412,True
CEBPB-AS1,880,413,True
ENSG00000228655,878,414,True
MED15P7,878,415,True
MSANTD2-AS1,878,416,True
ENSG00000287554,878,417,True
ENSG00000273828,877,418,True
GTF2I-AS1,876,419,True
ENSG00000266371,876,420,True
ENSG00000224946,874,421,True
ENSG00000228351,873,422,True
MIR3936HG,873,423,True
GABRG2,870,424,True
ENSG00000235279,869,425,True
ENSG00000280870,869,426,True
ENSG00000286933,869,427,True
ENSG00000287824,866,428,True
ENSG00000237734,865,429,True
VSTM2B-DT,864,430,True
ENSG00000266821,863,431,True
PDCD6IP,862,432,True
ENSG00000282906,862,433,True
AOAH,860,434,True
TAOK2,859,435,True
TAGAP-AS1,859,436,True
ENSG00000283001,858,437,True
RAD51AP1P1,857,438,True
ENSG00000284052,856,439,True
ENSG00000285663,855,440,True
KRT18P31,854,441,True
GGA1,853,442,True
SPG11,853,443,True
ENSG00000267146,853,444,True
ENSG00000277526,853,445,True
DIDO1,850,446,True
ENSG00000231132,846,447,True
PPFIA1P1,846,448,True
RNU6-331P,844,449,True
LINC02112,844,450,True
POU5F1P5,843,451,True
RNU2-16P,842,452,True
GOT1-DT,842,453,True
CCNB2P1,841,454,True
ENSG00000231980,841,455,True
ENSG00000279110,838,456,True
ENSG00000286402,838,457,True
LINC01250,837,458,True
ALOX15P2,833,459,True
