gene,variance,variance_rank,selected
MYH7,64.78298384062096,1,True
ACTC1,51.6227207372153,2,True
MYL2,51.503313756442836,3,True
MYL7,49.31359547096029,4,True
MYBPC3,45.74625520077446,5,True
MYH6,45.475592149766854,6,True
TNNT2,42.589443098790966,7,True
DES,41.8102688277144,8,True
SMYD1,40.09682895594733,9,True
TNNC1,39.52693090144434,10,True
CSRP3,39.28040711480367,11,True
TNNI3,39.2636895107238,12,True
RYR2,38.914611180708164,13,True
MB,38.29776281537418,14,True
NPPA,37.26703720400774,15,True
RN7SK,36.650839878974715,16,True
HSPB7,36.6072761552965,17,True
CKM,36.28504221910977,18,True
XIRP1,35.847001854620125,19,True
TNNI1,35.503084742294746,20,True
CASQ2,35.31175155995938,21,True
PLN,33.67720446268665,22,True
NRAP,33.43520640550206,23,True
SMPX,33.19198747943881,24,True
MYL3,33.06589725269111,25,True
LMOD2,32.47982138634987,26,True
UNC45B,32.306197307359994,27,True
MYL4,32.219856477689284,28,True
RN7SL2,31.98460318971927,29,True
ACTA1,31.3194401553505,30,True
RPPH1,30.678085147669314,31,True
ACTN2,30.479767508907962,32,True
TCAP,30.41682645681664,33,True
LDB3,30.037910752674332,34,True
RMRP,29.214321382887707,35,True
TECRL,29.110041379006095,36,True
H19,28.829019363564846,37,True
RPL23AP42,28.827623841856802,38,True
MYO18B,28.818332138696505,39,True
COL3A1,28.702959209947267,40,True
RN7SL1,28.70046602319403,41,True
NPPB,28.690129884857424,42,True
NEBL,28.646550370860272,43,True
MMP1,28.493844348046427,44,True
STYXL2,28.411864181649,45,True
CMYA5,28.306967719998074,46,True
RPS4Y1,28.178479921655484,47,True
LPL,28.129326570380226,48,True
VWF,27.860881310177813,49,True
RMRP,27.63468239490047,50,True
TTN,27.439465262453275,51,True
HRC,27.43447555768269,52,True
COL1A1,27.364597192788747,53,True
TRDN,27.252493414847073,54,True
HLA-A,27.063299982796334,55,True
ENSG00000286600,26.968673595654106,56,True
ENSG00000202198,26.800213949806896,57,True
ANKRD1,26.674934878671806,58,True
TUBB,26.583942438424597,59,True
SRGN,26.55027132648973,60,True
TRIM63,26.531498791091686,61,True
SRL,26.3318023520047,62,True
SPHKAP,25.891868136068034,63,True
SNORD3A,25.86240145107701,64,True
HSPB3,25.639044045248703,65,True
MYOZ2,25.611081747132264,66,True
CRYAB,25.5539843384576,67,True
CLIC5,25.54116868004811,68,True
HBB,25.53477260636763,69,True
MYOM1,25.253140156094556,70,True
SYNPO2L,25.2205167711382,71,True
XIRP2,25.150316783491547,72,True
SERPINE1,25.05393988294272,73,True
POPDC2,24.975803331762705,74,True
GUCY1A1,24.955997265210065,75,True
ENSG00000268518,24.9499920633983,76,True
HSPG2,24.91777832295634,77,True
HLA-E,24.646349222014944,78,True
MT-TP,24.517517029438054,79,True
NKX2-5,24.510108220265565,80,True
H19,24.487696051389054,81,True
NPNT,24.487456721428334,82,True
XIST,24.446885650518812,83,True
ENSG00000259001,24.091809992745343,84,True
CDH5,23.8669549453387,85,True
DCN,23.794819840083353,86,True
EEF1A2,23.75051680449154,87,True
MYZAP,23.746875296557352,88,True
HHATL,23.72292151173832,89,True
FLNC,23.69034468955461,90,True
MMRN1,23.681985155507455,91,True
CD93,23.611207326210124,92,True
CXCL8,23.610149601575916,93,True
THBS2,23.543731473371214,94,True
SPARCL1,23.52714517485983,95,True
WNK2,23.52152248496414,96,True
ENSG00000273673,23.492631860459078,97,True
EFEMP1,23.461230509988912,98,True
HSPA1A,23.416322361003527,99,True
PGAM2,23.36764430023963,100,True
BMP5,23.345344090200566,101,True
PPP1R1A,23.194438303215627,102,True
MYOCD,23.15591928588603,103,True
HBA2,23.142922042243598,104,True
F13A1,23.02307509482645,105,True
LUM,22.988143541201584,106,True
GREM1,22.961316553105185,107,True
ATP1A2,22.915626646036444,108,True
TRIM55,22.85306966432234,109,True
DDX3Y,22.829539302831627,110,True
ENSG00000289694,22.801170647430666,111,True
TRIM54,22.7810142743879,112,True
COL1A2,22.63787192994314,113,True
HSPA1A,22.607576725252564,114,True
ADCY5,22.569582791311618,115,True
NCAM1,22.532695012214912,116,True
MIR663AHG,22.50944027920595,117,True
APOBEC2,22.475196137192317,118,True
MLIP,22.443495942388505,119,True
ALPK2,22.359846339203447,120,True
MYOM2,22.12832967554291,121,True
RBM20,21.93654270971372,122,True
FXYD6,21.92493502003503,123,True
PECAM1,21.831486324923574,124,True
CXCL1,21.783292216423554,125,True
POSTN,21.715548721208197,126,True
GIMAP6,21.710477112178893,127,True
HLA-C,21.681916642764207,128,True
CTNNA3,21.674426046428145,129,True
NMRK2,21.61751065252566,130,True
CKMT2,21.5742783655231,131,True
HSPB6,21.554210314966884,132,True
ANPEP,21.547947243985462,133,True
COL6A2,21.511917653351464,134,True
KIF1A,21.48505966362899,135,True
PPP1R14C,21.461428913666005,136,True
HCN4,21.434602106473953,137,True
PTX3,21.36049012049944,138,True
B4GALNT3,21.340906000377718,139,True
ASB2,21.324611789936277,140,True
MTUS2,21.316794789211297,141,True
KLHL31,21.284044184556922,142,True
CHRM2,21.23305571903289,143,True
NPY6R,21.010540039604106,144,True
RPL3P4,20.99962776994008,145,True
SLC27A6,20.987413701462994,146,True
COL6A3,20.971592659509135,147,True
GIMAP4,20.946195647573504,148,True
SLC4A3,20.94147993172892,149,True
COX6A2,20.869532964680662,150,True
LAPTM5,20.861938362846978,151,True
MYOM2,20.849263228571136,152,True
C10ORF71,20.83064069308802,153,True
CLEC14A,20.720081735232643,154,True
HLA-C,20.68901008292035,155,True
SCN5A,20.659263714270008,156,True
PPP1R3A,20.642785520325322,157,True
FBXO40,20.63878818670481,158,True
FITM1,20.608480830978568,159,True
LRRC10,20.584522880932706,160,True
CYP2J2,20.58104948635021,161,True
COL2A1,20.56903451433723,162,True
FABP3,20.554134510633354,163,True
SPTB,20.540117262935595,164,True
ITGBL1,20.453652584399435,165,True
BGN,20.443096785344245,166,True
HSPA1B,20.440292730409617,167,True
FHOD3,20.432017189361805,168,True
ROBO4,20.422076157732857,169,True
BMP7,20.396051008257054,170,True
MEG3,20.368686554634717,171,True
MMP2,20.364681073255788,172,True
MT-TC,20.27849220535513,173,True
GATA4,20.266804717063376,174,True
CYFIP1,20.26653627225954,175,True
SLC5A1,20.251643807391236,176,True
C7,20.20783421154306,177,True
ADH1B,20.20724188804703,178,True
SCARNA10,20.19656151141997,179,True
KRT7,20.174608092524224,180,True
A2M,20.15328182179736,181,True
TNNI3K,20.126563801738268,182,True
IGF2,20.003055239132305,183,True
PRRC2A,19.953216900549428,184,True
SERPINA1,19.92923990270215,185,True
DPT,19.922338698267417,186,True
ASB2,19.883302401054006,187,True
HLA-A,19.868668588740988,188,True
HBA1,19.86504577495086,189,True
ENSG00000288534,19.854891071069485,190,True
RNU2-2P,19.83393132548633,191,True
MMP14,19.827751124334185,192,True
KCNH2,19.822581263689266,193,True
VASN,19.78599933342464,194,True
AQP1,19.76215549866316,195,True
RPLP0P9,19.73784159404012,196,True
S100A9,19.701385838722842,197,True
FREM1,19.66110489184652,198,True
DLK1,19.62913918380398,199,True
ZBED6,19.597507056091256,200,True
STAB1,19.59672832358773,201,True
RCAN2,19.594217675816935,202,True
HLA-A,19.57177655765167,203,True
TMEM176B,19.56523247438344,204,True
MT-TN,19.534513182817783,205,True
FREM2,19.524848521855287,206,True
KLHL41,19.502056260223906,207,True
ENSG00000288947,19.50187497792552,208,True
TBX5,19.480106367700298,209,True
COBL,19.357334750643812,210,True
HLA-C,19.356248255797635,211,True
TIMP3,19.32987982340297,212,True
ENSG00000283907,19.312050577534485,213,True
ENSG00000267328,19.219049396395505,214,True
LYZ,19.216760753101163,215,True
TBX20,19.216189561331895,216,True
CXCL6,19.202828669588637,217,True
IER3,19.19368406772249,218,True
PPARGC1A,19.15321793126278,219,True
DUSP26,19.14013762275652,220,True
ADIRF,19.087695080258584,221,True
FKBP10,19.074582948047492,222,True
MFAP4,19.024895964897485,223,True
C4A,19.010289676691876,224,True
ALPK3,18.960625018859126,225,True
FN1,18.91264988595392,226,True
DSP,18.907207623436165,227,True
AGPAT1,18.895942492837516,228,True
CPVL,18.81420355845624,229,True
HAND1,18.789900662405746,230,True
FABP4,18.784393211287718,231,True
