# KEGG cardiomyopathy pathway genes, QC-universe-intersected
# source: KEGG REST API (rest.kegg.jp), fetched 2026-08-02
#   hsa05410 (dilated CM): 99 genes
#   hsa05414 (hypertrophic CM): 105 genes
#   union, deduplicated: 114 genes
# intersected against QC-filtered universe (49,231 genes, gene_symbols.npy): 114 survive, 0 dropped (100.0% kept)
#   of which alias-rescued (not a primary-symbol match): 0
gene,kegg_symbol,source_pathway,matched_via
ACE,ACE,hsa05410,primary_symbol
ACTB,ACTB,both,primary_symbol
ACTC1,ACTC1,both,primary_symbol
ACTG1,ACTG1,both,primary_symbol
ADCY1,ADCY1,hsa05414,primary_symbol
ADCY2,ADCY2,hsa05414,primary_symbol
ADCY3,ADCY3,hsa05414,primary_symbol
ADCY4,ADCY4,hsa05414,primary_symbol
ADCY5,ADCY5,hsa05414,primary_symbol
ADCY6,ADCY6,hsa05414,primary_symbol
ADCY7,ADCY7,hsa05414,primary_symbol
ADCY8,ADCY8,hsa05414,primary_symbol
ADCY9,ADCY9,hsa05414,primary_symbol
ADRB1,ADRB1,hsa05414,primary_symbol
AGT,AGT,both,primary_symbol
ATP2A1,ATP2A1,both,primary_symbol
ATP2A2,ATP2A2,both,primary_symbol
ATP2A3,ATP2A3,both,primary_symbol
CACNA1C,CACNA1C,both,primary_symbol
CACNA1D,CACNA1D,both,primary_symbol
CACNA1F,CACNA1F,both,primary_symbol
CACNA1S,CACNA1S,both,primary_symbol
CACNA2D1,CACNA2D1,both,primary_symbol
CACNA2D2,CACNA2D2,both,primary_symbol
CACNA2D3,CACNA2D3,both,primary_symbol
CACNA2D4,CACNA2D4,both,primary_symbol
CACNB1,CACNB1,both,primary_symbol
CACNB2,CACNB2,both,primary_symbol
CACNB3,CACNB3,both,primary_symbol
CACNB4,CACNB4,both,primary_symbol
CACNG1,CACNG1,both,primary_symbol
CACNG2,CACNG2,both,primary_symbol
CACNG3,CACNG3,both,primary_symbol
CACNG4,CACNG4,both,primary_symbol
CACNG5,CACNG5,both,primary_symbol
CACNG6,CACNG6,both,primary_symbol
CACNG7,CACNG7,both,primary_symbol
CACNG8,CACNG8,both,primary_symbol
CAV3,CAV3,both,primary_symbol
DAG1,DAG1,both,primary_symbol
DES,DES,both,primary_symbol
DMD,DMD,both,primary_symbol
DTNA,DTNA,both,primary_symbol
EDN1,EDN1,hsa05410,primary_symbol
EMD,EMD,both,primary_symbol
GNAS,GNAS,hsa05414,primary_symbol
IGF1,IGF1,both,primary_symbol
IL6,IL6,hsa05410,primary_symbol
ITGA1,ITGA1,both,primary_symbol
ITGA10,ITGA10,both,primary_symbol
ITGA11,ITGA11,both,primary_symbol
ITGA2,ITGA2,both,primary_symbol
ITGA2B,ITGA2B,both,primary_symbol
ITGA3,ITGA3,both,primary_symbol
ITGA4,ITGA4,both,primary_symbol
ITGA5,ITGA5,both,primary_symbol
ITGA6,ITGA6,both,primary_symbol
ITGA7,ITGA7,both,primary_symbol
ITGA8,ITGA8,both,primary_symbol
ITGA9,ITGA9,both,primary_symbol
ITGAV,ITGAV,both,primary_symbol
ITGB1,ITGB1,both,primary_symbol
ITGB3,ITGB3,both,primary_symbol
ITGB4,ITGB4,both,primary_symbol
ITGB5,ITGB5,both,primary_symbol
ITGB6,ITGB6,both,primary_symbol
ITGB7,ITGB7,both,primary_symbol
ITGB8,ITGB8,both,primary_symbol
LAMA1,LAMA1,both,primary_symbol
LAMA2,LAMA2,both,primary_symbol
LMNA,LMNA,both,primary_symbol
MYBPC3,MYBPC3,both,primary_symbol
MYH6,MYH6,both,primary_symbol
MYH7,MYH7,both,primary_symbol
MYL2,MYL2,both,primary_symbol
MYL3,MYL3,both,primary_symbol
NOS1,NOS1,both,primary_symbol
PLN,PLN,hsa05414,primary_symbol
PRKAA1,PRKAA1,hsa05410,primary_symbol
PRKAA2,PRKAA2,hsa05410,primary_symbol
PRKAB1,PRKAB1,hsa05410,primary_symbol
PRKAB2,PRKAB2,hsa05410,primary_symbol
PRKACA,PRKACA,hsa05414,primary_symbol
PRKACB,PRKACB,hsa05414,primary_symbol
PRKACG,PRKACG,hsa05414,primary_symbol
PRKAG1,PRKAG1,hsa05410,primary_symbol
PRKAG2,PRKAG2,hsa05410,primary_symbol
PRKAG3,PRKAG3,hsa05410,primary_symbol
RYR2,RYR2,both,primary_symbol
SGCA,SGCA,both,primary_symbol
SGCB,SGCB,both,primary_symbol
SGCD,SGCD,both,primary_symbol
SGCE,SGCE,both,primary_symbol
SGCG,SGCG,both,primary_symbol
SGCZ,SGCZ,both,primary_symbol
SLC8A1,SLC8A1,both,primary_symbol
SLC8A2,SLC8A2,both,primary_symbol
SLC8A3,SLC8A3,both,primary_symbol
SNTA1,SNTA1,both,primary_symbol
SNTB1,SNTB1,both,primary_symbol
SNTB2,SNTB2,both,primary_symbol
SSPN,SSPN,both,primary_symbol
TGFB1,TGFB1,both,primary_symbol
TGFB2,TGFB2,both,primary_symbol
TGFB3,TGFB3,both,primary_symbol
TNF,TNF,both,primary_symbol
TNNC1,TNNC1,both,primary_symbol
TNNI3,TNNI3,both,primary_symbol
TNNT2,TNNT2,both,primary_symbol
TPM1,TPM1,both,primary_symbol
TPM2,TPM2,both,primary_symbol
TPM3,TPM3,both,primary_symbol
TPM4,TPM4,both,primary_symbol
TTN,TTN,both,primary_symbol
