variant,negative_pool,n_samples,n_positive,n_series,n_folds_ran,n_folds_skipped,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,accuracy_mean,accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,brier_mean,brier_std,variant_millions_nominal
BulkFormer-37M,neg_hard,31032,8725,1654,5,0,0.780572024880583,0.10549374512234408,0.6101942731612259,0.13439351692984627,0.7145851613850744,0.09206312782051769,0.6811476398453704,0.12048079666494634,0.7316434030012072,0.09247410286398032,0.5825373151596207,0.07756465714511669,0.19224264346722092,0.06088229930173478,37
BulkFormer-50M,neg_hard,31032,8725,1654,5,0,0.723603274185203,0.10980275185886072,0.5341106162084797,0.1270168037480648,0.6795048666458159,0.10191812563518997,0.6617773547200935,0.11478791413533777,0.6916927332686023,0.13270009979391004,0.5500667849959062,0.0628171158884551,0.23804456124906528,0.08959784070160365,50
BulkFormer-93M,neg_hard,31032,8725,1654,5,0,0.8005027589067442,0.18718749466494697,0.672268305568217,0.2231120932090414,0.765179141898424,0.12312126580898107,0.6523327463971658,0.2136181484974636,0.8093104199407308,0.11446395240900038,0.614351410259607,0.20436951822610092,0.1736944541335106,0.09574967275228559,93
BulkFormer-127M,neg_hard,31032,8725,1654,5,0,0.7195562797021366,0.21451448673193393,0.5662392912071369,0.2738338454985048,0.7102542941658261,0.13176948249162995,0.6198253730670663,0.19333589096854878,0.745556704037181,0.14848567205138574,0.5563826736983452,0.19235612058911486,0.2357316181063652,0.11880386958526286,127
BulkFormer-147M,neg_hard,31032,8725,1654,5,0,0.7732032114776102,0.17966883171655956,0.621227336788954,0.2252767438973071,0.7450352844570016,0.11601423513654636,0.6388256098929981,0.17944643767684473,0.7865762247942406,0.11329177680136675,0.5914731745916348,0.18042767906375184,0.19362488836050035,0.09707873322653982,147
BulkFormer-37M,neg_whole_corpus,34900,8725,10681,5,0,0.9247034321098635,0.03707831627317352,0.832995211791839,0.07537159917732482,0.8775827481449854,0.01590892540964795,0.8396863488673235,0.06944511966533735,0.887450321577161,0.016276412943861094,0.7693623086923719,0.046328127490931854,0.09127362947202419,0.014578564664439455,37
BulkFormer-50M,neg_whole_corpus,34900,8725,10681,5,0,0.9278341506046421,0.03563076262138895,0.8467135041522186,0.07215687430792973,0.8983129008090392,0.012989096997048179,0.839401235988575,0.06933673814316813,0.9163400289039064,0.013238901642228542,0.8008163101563776,0.03824427712446881,0.08118558644553814,0.013502751972896458,50
BulkFormer-93M,neg_whole_corpus,34900,8725,10681,5,0,0.9444390764877365,0.023014785039463047,0.897153598302911,0.040467772061995956,0.9096567583828967,0.020185776521224875,0.8317897844892957,0.08223374397254765,0.9356258442629717,0.012281048088523717,0.8196817206589099,0.04792276561567176,0.07204032689332962,0.01708113247451573,93
BulkFormer-127M,neg_whole_corpus,34900,8725,10681,5,0,0.9428176076393825,0.02700614397707245,0.8976036877403569,0.04362255938790251,0.9091126864604535,0.017078866642509547,0.8278911628532869,0.08171432365196846,0.9361993771322024,0.010004218779633645,0.8180071308126774,0.04340299840344273,0.0718873955309391,0.015696551958198846,127
BulkFormer-147M,neg_whole_corpus,34900,8725,10681,5,0,0.9410494492606981,0.024424075567265065,0.8880267882270092,0.03537011611404959,0.9116338973714576,0.02187005203078616,0.8215928857947337,0.09196889865065586,0.9416622771703815,0.010442706959575672,0.8204893874263745,0.053104789078450475,0.07137844562530518,0.01851352998672861,147
