gene,n_items,pct_of_items
AGPAT1,1931,7.16
RPS18,1904,7.06
FAP,1479,5.48
ADH1B,1137,4.22
CEMIP,1007,3.73
ICA1,1004,3.72
PDE1C,913,3.38
LMNB1,905,3.36
THBS2,895,3.32
PTPRK,864,3.2
MIF,861,3.19
HMGA2,854,3.17
TSEN34,847,3.14
GREM1,781,2.9
NOMO1,767,2.84
HSPB1,762,2.83
SRPX,757,2.81
CCL11,755,2.8
FCGR3B,740,2.74
BASP1,723,2.68
IL1B,720,2.67
VPS52,720,2.67
CHCHD2,717,2.66
LEP,698,2.59
RPS17,692,2.57
PTGDS,691,2.56
ITGBL1,689,2.55
COL14A1,651,2.41
TYMS,646,2.4
NUSAP1,637,2.36
CLIC4,623,2.31
CCDC80,615,2.28
CCDC175,614,2.28
DCN,602,2.23
CES1,581,2.15
DSP,548,2.03
C1R,547,2.03
CD3E,531,1.97
HLA-DRB1,529,1.96
GSTP1,525,1.95
NCF1,521,1.93
TBC1D3C,511,1.89
PAPPA,509,1.89
HSPA1B,498,1.85
FCN1,492,1.82
C1QA,492,1.82
FMOD,488,1.81
ASB15,479,1.78
SNCA,476,1.76
SMURF1,472,1.75
ACADVL,471,1.75
HSPB2-C11ORF52,454,1.68
PPT2,449,1.66
NCAPG,443,1.64
LIF,443,1.64
SVEP1,442,1.64
TIMP3,440,1.63
ALDH1A3,432,1.6
ARHGAP15,428,1.59
JCHAIN,426,1.58
CD36,425,1.58
HLA-A,422,1.56
PRXL2A,419,1.55
HBB,414,1.53
CDH2,406,1.51
EEF2,394,1.46
LUM,385,1.43
SPARCL1,383,1.42
MGP,381,1.41
F13A1,378,1.4
FYB1,375,1.39
HSP90AA1,372,1.38
HLA-DRA,372,1.38
CHI3L1,365,1.35
PTPRC,365,1.35
ELN,363,1.35
DAPP1,363,1.35
CA12,360,1.33
MAPKAPK2,360,1.33
CALR,359,1.33
FCGR3A,353,1.31
ATP6V1G2-DDX39B,346,1.28
VASN,344,1.28
IL26,344,1.28
HMCN1,339,1.26
MDFI,338,1.25
RPL36A-HNRNPH2,336,1.25
CDK4,335,1.24
NCF4,333,1.23
CST2,333,1.23
ADM,332,1.23
DAG1,332,1.23
HBA2,331,1.23
POSTN,331,1.23
SERPINB2,328,1.22
NISCH,323,1.2
PF4V1,322,1.19
CYP2D6,321,1.19
DDR1,317,1.18
ACTA2,317,1.18
LSP1,316,1.17
MXRA5,315,1.17
RPS4Y2,305,1.13
